Freq.	V(vo)
1.04174342900823e+01	(-2.45865462494334e+00dB,-3.11368769169496e+01°)
1.04246576084113e+01	(-2.46112975387616e+00dB,-3.11489415227790e+01°)
1.04318859352987e+01	(-2.46360656524481e+00dB,-3.11610024556170e+01°)
1.04391192742173e+01	(-2.46608505878799e+00dB,-3.11730597039544e+01°)
1.04463576286424e+01	(-2.46856523424175e+00dB,-3.11851132562808e+01°)
1.04536010020517e+01	(-2.47104709133982e+00dB,-3.11971631010834e+01°)
1.04608493979254e+01	(-2.47353062981342e+00dB,-3.12092092268476e+01°)
1.04681028197458e+01	(-2.47601584939115e+00dB,-3.12212516220575e+01°)
1.04753612709981e+01	(-2.47850274979929e+00dB,-3.12332902751949e+01°)
1.04826247551694e+01	(-2.48099133076157e+00dB,-3.12453251747401e+01°)
1.04898932757495e+01	(-2.48348159199907e+00dB,-3.12573563091723e+01°)
1.04971668362308e+01	(-2.48597353323059e+00dB,-3.12693836669682e+01°)
1.05044454401076e+01	(-2.48846715417240e+00dB,-3.12814072366030e+01°)
1.05117290908771e+01	(-2.49096245453819e+00dB,-3.12934270065507e+01°)
1.05190177920388e+01	(-2.49345943403911e+00dB,-3.13054429652838e+01°)
1.05263115470945e+01	(-2.49595809238399e+00dB,-3.13174551012725e+01°)
1.05336103595484e+01	(-2.49845842927899e+00dB,-3.13294634029863e+01°)
1.05409142329075e+01	(-2.50096044442784e+00dB,-3.13414678588928e+01°)
1.05482231706807e+01	(-2.50346413753181e+00dB,-3.13534684574579e+01°)
1.05555371763798e+01	(-2.50596950828958e+00dB,-3.13654651871465e+01°)
1.05628562535187e+01	(-2.50847655639736e+00dB,-3.13774580364220e+01°)
1.05701804056139e+01	(-2.51098528154883e+00dB,-3.13894469937464e+01°)
1.05775096361844e+01	(-2.51349568343522e+00dB,-3.14014320475801e+01°)
1.05848439487514e+01	(-2.51600776174518e+00dB,-3.14134131863824e+01°)
1.05921833468389e+01	(-2.51852151616492e+00dB,-3.14253903986112e+01°)
1.05995278339729e+01	(-2.52103694637809e+00dB,-3.14373636727232e+01°)
1.06068774136823e+01	(-2.52355405206581e+00dB,-3.14493329971738e+01°)
1.06142320894980e+01	(-2.52607283290679e+00dB,-3.14612983604169e+01°)
1.06215918649538e+01	(-2.52859328857711e+00dB,-3.14732597509056e+01°)
1.06289567435856e+01	(-2.53111541875037e+00dB,-3.14852171570919e+01°)
1.06363267289319e+01	(-2.53363922309773e+00dB,-3.14971705674259e+01°)
1.06437018245337e+01	(-2.53616470128768e+00dB,-3.15091199703576e+01°)
1.06510820339343e+01	(-2.53869185298632e+00dB,-3.15210653543351e+01°)
1.06584673606795e+01	(-2.54122067785723e+00dB,-3.15330067078056e+01°)
1.06658578083178e+01	(-2.54375117556133e+00dB,-3.15449440192158e+01°)
1.06732533803997e+01	(-2.54628334575721e+00dB,-3.15568772770106e+01°)
1.06806540804786e+01	(-2.54881718810084e+00dB,-3.15688064696343e+01°)
1.06880599121102e+01	(-2.55135270224561e+00dB,-3.15807315855304e+01°)
1.06954708788526e+01	(-2.55388988784244e+00dB,-3.15926526131414e+01°)
1.07028869842664e+01	(-2.55642874453980e+00dB,-3.16045695409083e+01°)
1.07103082319147e+01	(-2.55896927198354e+00dB,-3.16164823572720e+01°)
1.07177346253630e+01	(-2.56151146981703e+00dB,-3.16283910506720e+01°)
1.07251661681795e+01	(-2.56405533768102e+00dB,-3.16402956095475e+01°)
1.07326028639347e+01	(-2.56660087521389e+00dB,-3.16521960223364e+01°)
1.07400447162014e+01	(-2.56914808205135e+00dB,-3.16640922774760e+01°)
1.07474917285551e+01	(-2.57169695782664e+00dB,-3.16759843634029e+01°)
1.07549439045739e+01	(-2.57424750217048e+00dB,-3.16878722685529e+01°)
1.07624012478381e+01	(-2.57679971471094e+00dB,-3.16997559813616e+01°)
1.07698637619306e+01	(-2.57935359507382e+00dB,-3.17116354902627e+01°)
1.07773314504368e+01	(-2.58190914288209e+00dB,-3.17235107836907e+01°)
1.07848043169446e+01	(-2.58446635775633e+00dB,-3.17353818500786e+01°)
1.07922823650444e+01	(-2.58702523931461e+00dB,-3.17472486778591e+01°)
1.07997655983290e+01	(-2.58958578717245e+00dB,-3.17591112554640e+01°)
